Naziv kluba,Godina osnutka,Adresa,Telefon/fax,E-mail,Web mjesto,Ovla┼ítena osoba1,OBI,Registarski broj,Datum unosa/izmjene,─îlan RSS,Sports
Ženski klub “Zamet,1995,"Rijeka, Bože Vidasa b.b.",313-253/313-253,zrk.zamet@rss.hr#mailto:zrk.zamet@rss.hr#,http://www.zamet.hr/,,,8000248,2015-11-18T00:00:00,,"[""RUKOMET"",""ODBOJKA""]"
Klub “Nine“,2004,"Rijeka, Škurinjskih žrtava 18",091-782-0410,info@snowboard-nine.hr#mailto: info@snowboard-nine.hr#,http://www.snowboard-nine.hr/,,,8002017,2015-11-18T00:00:00,,
Klub Rijeka,2010,"Milice Jadranić 9/b, Rijeka","091/5744872, 098/9826557",rijeka.kendo@gmail.com#mailto:rijeka.kendo@gmail.com#,www.rijekakendo.com,,,8003172,2015-11-17T00:00:00,,"[""KENDO"",""IAIDO""]"
Ženski klub “Vita”,2000,"Rijeka, Omladinska 8","513-116, 091-154-5081",zgkvitari@net.hr#mailto:zgkvitari@net.hr#,http://www.vitagimnastika.hr/,,,8001398,2015-11-18T00:00:00,,"[""GIMNASTIKA"",""AKROBATIKA""]"
Tenis klub “Kvarner”,1979,"Rijeka, Ede Jardasa 27 a",621-601/621-444,tenis-klub-kvarner@ri.t-com.hr#mailto:tenis-klub-kvarner@ri.t-com.hr#,http://www.tkk.hr/,,,8001245,2015-11-17T00:00:00,,"[""TENIS"",""STOLNI TENIS""]"
Klub “Sušak”,2004,"Rijeka, Radnička 4/a",219-197,tksusak@gmail.com#mailto:tksusak@gmail.com#,http://www.tk-susak.hr/,,,8001971,2015-11-17T00:00:00,,"[""TAEKWONDO"",""KARATE""]"
Šahovski klub “Rijeka”,2009,"Rijeka, Blaža Polića 2/II",336-781/332-628,club@sah-rijeka.hr#mailto:club@sah-rijeka.hr#,http://www.sah-rijeka.hr/,,,8003136,2015-11-18T00:00:00,,"[""ŠAH"",""BRIDŽ""]"
Ski klub “Rijeka“,1965,"Rijeka, Vodovodna 13 b",371-054/371-054,ski-rijeka@ri.t-com.hr#mailto:ski-rijeka@ri.t-com.hr#,http://www.ski-rijeka.hr/,,,8001139,2015-11-18T00:00:00,,"[""SKIJANJE"",""SNOWBOARD""]"
Ženski klub “Kozala”- brisana iz registra,1993,"Rijeka, Volčićev trg 2",513-799,info@tkkozala.hr,http://www.tkkozala.hr/,,,8000927,2015-11-19T00:00:00,,"[""BOĆANJE"",""BOĆANJE NA TRAVI""]"
Klub “Pećine”,1994,"Rijeka, Šetalište XIII divizije 33","421-782, 098-697-485/421-782",jdjukic@optinet.hr#mailto:jdjukic@optinet.hr#,http://www.tkpecine.com/,,,8000555,2015-11-17T00:00:00,,"[""TENIS"",""STOLNI TENIS""]"
